exp,split,id,question,s0_correct,s0_idk,s0_inc,s0_frac_correct,s100_correct,s100_idk,s100_inc,s100_frac_correct,s200_correct,s200_idk,s200_inc,s200_frac_correct,s300_correct,s300_idk,s300_inc,s300_frac_correct,s400_correct,s400_idk,s400_inc,s400_frac_correct,s480_correct,s480_idk,s480_inc,s480_frac_correct
binary,val,2363,"When (month, day, year) did the first episode of Candela Obscura premiere on Twi",4,18,10,0.125,0,32,0,0.0,0,32,0,0.0,0,32,0,0.0,0,32,0,0.0,0,32,0,0.0
binary,val,2378,How many operator cells are within the Yamaha YM2203 from the 1980s?,31,0,1,0.96875,28,0,4,0.875,27,0,5,0.84375,30,0,2,0.9375,26,0,6,0.8125,30,0,2,0.9375
binary,val,2056,What is the name of the mosque that was first built in Srinagar?,27,0,5,0.84375,31,0,1,0.96875,31,0,1,0.96875,29,0,3,0.90625,31,0,1,0.96875,31,0,1,0.96875
binary,val,876,"On which day, month, and year was Max Vuyisile Sisulu born?",32,0,0,1.0,32,0,0,1.0,32,0,0,1.0,32,0,0,1.0,32,0,0,1.0,32,0,0,1.0
binary,val,126,"In the oracle card deck created by Kyle Gray titled ""The 22 Archangels Oracle,"" ",28,0,4,0.875,26,0,6,0.8125,26,0,6,0.8125,26,0,6,0.8125,25,0,7,0.78125,26,0,6,0.8125
binary,val,3307,"What population did the town of Alnham in Northumberland, England have in the 20",32,0,0,1.0,32,0,0,1.0,32,0,0,1.0,32,0,0,1.0,32,0,0,1.0,32,0,0,1.0
binary,val,1422,What year did Glamour Magazine first name Zanele Muholi 'Campaigner of the Year',25,7,0,0.78125,27,5,0,0.84375,28,4,0,0.875,30,2,0,0.9375,29,3,0,0.90625,24,8,0,0.75
binary,val,1135,Who was the first Red Sox manager to win two World Series?,11,0,21,0.34375,6,0,26,0.1875,12,0,20,0.375,12,0,20,0.375,8,0,24,0.25,9,0,23,0.28125
binary,val,1051,"In what year was Nash-Williams' doctoral thesis ""Decomposition of Graphs into In",32,0,0,1.0,26,6,0,0.8125,26,6,0,0.8125,28,4,0,0.875,26,6,0,0.8125,27,5,0,0.84375
binary,val,4038,Which year did the architect Mary Almy work on Garland Junior College?,2,30,0,0.0625,0,32,0,0.0,0,32,0,0.0,0,32,0,0.0,0,32,0,0.0,0,32,0,0.0
binary,val,1394,In which month of 1968 was the OV1-13 spacecraft launched?,29,0,3,0.90625,31,0,1,0.96875,32,0,0,1.0,31,0,1,0.96875,32,0,0,1.0,32,0,0,1.0
binary,val,2908,"Give the abbreviated name of the launch vehicle, along with its mission or fligh",32,0,0,1.0,32,0,0,1.0,32,0,0,1.0,32,0,0,1.0,32,0,0,1.0,32,0,0,1.0
binary,val,2094,"In which year did Arshad Sauleh (an artist and a radio broadcaster of Srinagar, ",29,3,0,0.90625,23,9,0,0.71875,26,6,0,0.8125,26,6,0,0.8125,30,2,0,0.9375,27,5,0,0.84375
binary,val,3501,Who is the father of the Aruban politician Dangui Oduber?,19,0,13,0.59375,11,0,21,0.34375,16,0,16,0.5,18,0,14,0.5625,15,0,17,0.46875,23,0,9,0.71875
binary,val,3507,"What year did the painter Joseph Matthäus Aigner paint ""Portrait of a Lady with ",2,30,0,0.0625,0,32,0,0.0,0,32,0,0.0,0,32,0,0.0,2,30,0,0.0625,3,29,0,0.09375
binary,val,139,"At which college in Pune did the 7th Chief Justice of India, P. B. Gajendragadka",4,0,28,0.125,23,0,9,0.71875,31,0,1,0.96875,32,0,0,1.0,32,0,0,1.0,32,0,0,1.0
binary,val,3520,What is the name of the naturalist who first described the sharpbill under the b,31,0,1,0.96875,31,0,1,0.96875,29,0,3,0.90625,27,0,5,0.84375,25,0,7,0.78125,28,0,4,0.875
binary,val,4070,What former First Lady served as co-chair of the Met Gala from 1977 to 1978?,1,31,0,0.03125,0,32,0,0.0,0,32,0,0.0,0,32,0,0.0,0,32,0,0.0,0,32,0,0.0
binary,val,3205,Richard Serra created his work 'Thirty-Five Feet of Lead Rolled Up' while living,11,21,0,0.34375,8,24,0,0.25,10,22,0,0.3125,13,19,0,0.40625,11,21,0,0.34375,8,24,0,0.25
binary,val,3749,What was South African ballet dancer Maryon Lane's birth name?,27,4,1,0.84375,31,0,1,0.96875,30,0,2,0.9375,32,0,0,1.0,29,0,3,0.90625,30,0,2,0.9375
binary,val,48,"Who wrote the lyrics to ""Dream Serenade,"" the opening theme song for the radio p",25,7,0,0.78125,16,16,0,0.5,14,18,0,0.4375,10,22,0,0.3125,20,12,0,0.625,12,20,0,0.375
binary,val,2179,What is the total area of Chitwan National Park in square kilometers?,32,0,0,1.0,32,0,0,1.0,32,0,0,1.0,32,0,0,1.0,32,0,0,1.0,32,0,0,1.0
